footprintWKT	coordinateUncertaintyInMeters
LINESTRING (-29.50091 -74.70134, -29.50021 -74.70085)	29.225631588621322
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-43.02674 -60.72161, -43.0365 -60.72048)	273.69558363680613
LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	256.8844809916039
LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	280.1583719283958
LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	259.3423462263312
LINESTRING (-28.74527 -74.50839, -28.74355 -74.50573)	150.6460636151
LINESTRING (-28.74527 -74.50839, -28.74355 -74.50573)	150.6460636151
LINESTRING (-44.41812 -60.47692, -44.42536 -60.47299)	295.9280516634235
LINESTRING (-27.84859 -75.23894, -27.85297 -75.23971)	75.69096229687548
LINESTRING (-55.911008 -64.02164, -55.92614 -64.02027)	377.73932216277143
LINESTRING (-57.50143 -63.61586, -57.50847 -63.6167)	180.7659116566594
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-46.76719 -60.32237, -46.77263 -60.32624)	262.8060570384258
LINESTRING (-46.76719 -60.32237, -46.77263 -60.32624)	262.8060570384258
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.676333 -62.302, -58.703 -62.2895)	981.7773945191175
LINESTRING (-58.676333 -62.302, -58.703 -62.2895)	981.7773945191175
LINESTRING (-60.621 -64.9145, -60.60166667 -64.9135)	460.8794459109491
LINESTRING (-60.537167 -64.9175, -60.50066667 -64.90466667)	1121.6009361081235
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-10.548667 -70.93717, -10.54383333 -70.93916667)	142.0354626796696
LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	226.14579083887057
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-29.50091 -74.70134, -29.50021 -74.70085)	29.225631588621322
LINESTRING (-29.50822 -74.70666, -29.50656 -74.70542)	73.3930381047616
LINESTRING (-109.8865 -71.17818, -109.8948 -71.17885)	154.09400875245714
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-63.4523 -64.7414, -63.4513 -64.7414)	23.81555380123982
LINESTRING (-46.86591 -60.27661, -46.87385 -60.27423)	256.5917441062741
LINESTRING (-27.79659 -76.16936, -27.79802 -76.16887)	33.35146331532535
LINESTRING (-27.87707 -75.24402, -27.88155 -75.24481)	77.47817873759266
LINESTRING (-44.52236 -60.49592, -44.52971 -60.49884)	259.3423462263312
LINESTRING (-44.41902 -60.47679, -44.4224 -60.47258)	252.28594214245038
LINESTRING (-31.12627 -75.26308, -31.131 -75.26378)	77.71378441699758
LINESTRING (-58.4599 -64.0466, -58.4697 -64.05)	305.2937282336208
LINESTRING (-57.5018 -63.6159, -57.5086 -63.6168)	175.94725767510408
LINESTRING (-10.670167 -70.79367, -10.67616667 -70.7835)	577.9489096392836
LINESTRING (-10.542 -70.81383, -10.565 -70.82683333)	839.142904676054
LINESTRING (-42.95756 -60.75219, -42.96927 -60.75649)	399.1325873277358
LINESTRING (-42.95756 -60.75219, -42.96927 -60.75649)	399.1325873277358
LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	152.8161972084142
LINESTRING (-56.168 -54.54783, -56.16083333 -54.54283333)	362.1018328496049
LINESTRING (-29.01541 -75.246, -29.01895 -75.24708)	78.52839153015762
LINESTRING (-29.02708 -75.24953, -29.0304 -75.25056)	74.37699968942984
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995
LINESTRING (-47.24357 -61.54119, -47.25173 -61.53753)	297.79103065139816
LINESTRING (-47.2586 -61.53438, -47.26689 -61.53095)	291.80486169207256
LINESTRING (-44.51785 -60.49437, -44.52549 -60.49652)	241.72326132278576
LINESTRING (-47.2586 -61.53438, -47.26689 -61.53095)	291.80486169207256
LINESTRING (-47.24357 -61.54119, -47.25173 -61.53753)	297.79103065139816
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-29.45447 -74.67694, -29.45068 -74.67659)	59.23415735323147
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	268.5295111754423
LINESTRING (-56.163 -54.53783, -56.14933333 -54.51116667)	1548.563838102465
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-42.689833 -53.40367, -42.69416667 -53.4035)	144.42528119327181
LINESTRING (-31.2636 -75.74963, -31.26678 -75.75076)	76.73212648206643
LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	152.8161972084142
LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	152.8161972084142
LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	443.06871604181526
LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	152.8161972084142
LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	152.8161972084142
LINESTRING (-29.01541 -75.246, -29.01895 -75.24708)	78.52839153015762
LINESTRING (-29.01541 -75.246, -29.01895 -75.24708)	78.52839153015762
LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	256.8844809916039
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	226.14579083887057
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	286.4873733557956
LINESTRING (-44.70265 -60.46412, -44.71117 -60.46868)	345.6257999961563
LINESTRING (-10.587833 -70.851, -10.58066667 -70.836)	847.0296390860129
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	405.83606190551933
LINESTRING (-58.675 -62.3025, -58.71666667 -62.283)	1532.8582252827089
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-10.588 -70.84133, -10.56966667 -70.82866667)	782.2741703909799
LINESTRING (-3.3916667 -70.0855, -3.370166667 -70.07733333)	612.1501054113829
LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	405.83606190551933
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-10.596833 -70.83983, -10.60933333 -70.84516667)	375.6050947331825
LINESTRING (-10.587333 -70.84167, -10.57383333 -70.82866667)	766.4375684057026
LINESTRING (-10.587333 -70.84167, -10.57383333 -70.82866667)	766.4375684057026
LINESTRING (-44.30999 -60.46136, -44.32434 -60.45886)	418.63918858230903
LINESTRING (-58.678 -62.29733, -58.691 -62.2915)	468.310926505464
LINESTRING (-2.9301667 -61.99283, -2.978 -62.00783333)	1506.4507632865843
LINESTRING (-60.6475 -64.91333, -60.66183333 -64.90933333)	405.83606190551933
LINESTRING (-10.670167 -70.79367, -10.67616667 -70.7835)	577.9489096392836
LINESTRING (-58.675 -62.3025, -58.71666667 -62.283)	1532.8582252827089
LINESTRING (-46.68984 -60.22065, -46.69883 -60.21816)	285.16864999313776
LINESTRING (-42.49511 -60.6713, -42.50343 -60.67282)	242.6593347177891
LINESTRING (-26.21185 -58.44307, -26.21386667 -58.4414)	110.08252970106116
LINESTRING (-26.21185 -58.44307, -26.21386667 -58.4414)	110.08252970106116
LINESTRING (-26.21185 -58.44307, -26.21386667 -58.4414)	110.08252970106116
LINESTRING (-26.21185 -58.44307, -26.21386667 -58.4414)	110.08252970106116
LINESTRING (-26.21185 -58.44307, -26.21386667 -58.4414)	110.08252970106116
LINESTRING (-29.01541 -75.246, -29.01895 -75.24708)	78.52839153015762
LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	256.8844809916039
LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	256.8844809916039
LINESTRING (-43.00013 -60.7273, -43.01131 -60.72709)	305.27552754370066
LINESTRING (-44.70265 -60.46412, -44.71117 -60.46868)	345.6257999961563
LINESTRING (-44.70438 -60.45885, -44.71463 -60.45621)	318.06373215671624
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
LINESTRING (-46.76743 -60.3208, -46.77042 -60.32541)	269.7762806406363
